source,model,rmse,original_rmse,centered_rmse,proxy,T,amplitude,realized,oracle
holdout_rmse_v2,catboost_full,0.586968936190851,0.586969,0.4522677643789135,63.186238136442974,0.7121763314932589,0.8866173209892736,5591.388207986901,9000.886095779735
holdout_rmse_v2,catboost_temporal,0.5912632656242082,0.591263,0.45786722528562257,64.62583478105711,0.7182923273341961,0.8845597875837977,5746.936257782615,9000.886095779735
holdout_rmse_v2,dlinear_contextual,0.5990314453380259,0.599031,0.47403529724597465,78.16634043110247,0.72724908680547,0.9987525348869744,6186.444630889453,9000.886095779735
holdout_rmse_v2,hgb_full,0.6423273458160477,0.642327,0.46662295625846006,65.84599101767043,0.7298548337189759,1.0070723556021985,5972.135695609597,9000.886095779735
holdout_rmse_v2,lgb_temporal,0.6473323283567071,0.647332,0.4896389723342221,72.2438397042967,0.7326627081149409,1.101439727506929,5825.850153842501,9000.886095779735
holdout_rmse_v2,dlinear_prevday,0.6659023418172851,0.665902,0.47654174134430394,84.64678046142934,0.6568773334815489,0.736356054857622,5370.817489869036,9000.886095779735
holdout_rmse_v2,xgboost_temporal,0.6853096035843975,0.68531,0.5062783129919001,74.56818999076408,0.7242141316817458,1.138945960550146,5806.384371345002,9000.886095779735
holdout_rmse_v2,ridge_contextual_a1,0.8079187762169173,0.807919,0.46110122744956356,75.86732810536834,0.7694185285451086,1.0262618331029938,6202.841477641694,9000.886095779735
holdout_rmse_v2,ridge_temporal_a1,0.8302744373266758,0.830274,0.5006577522328467,90.43973076242543,0.7633242891019303,1.1538644288790416,6107.7959202111915,9000.886095779735
holdout_rmse_v2,climatology_weekday_slot,0.8948355972952869,0.894836,0.4810210349665639,85.16749223066152,0.6817348546461646,0.6363159310507536,5644.280127937861,9000.886095779735
holdout_rmse_v2,blend_lgb_transformer,0.617156514269047,0.584431,0.44249439782818584,63.26643192255197,0.7693044856680584,0.9201145119988883,6041.854269689157,9000.886095779735
holdout_seed_bag_v1,listwise_transformer_seed42,0.8620390592948906,0.8620390592948906,0.4261087711131467,25.86686986817454,0.77237426975361,0.4828836915635799,6296.670514658443,9000.886095779735
holdout_seed_bag_v1,listwise_transformer_seed43,0.6178346300666273,0.6178346300666273,0.41435598402601426,29.448806028847,0.778668466881285,0.5015829600100086,6334.699112105517,9000.886095779735
holdout_seed_bag_v1,listwise_transformer_seed44,1.0024564714806665,1.0024564714806663,0.4120888661319205,27.696881657294853,0.7852872943988112,0.5277006106720817,6551.772866507539,9000.886095779735
holdout_seed_bag_v1,listwise_transformer_seed45,0.7220739892361976,0.7220739892361976,0.4320481424933389,33.343376522473505,0.7693815030089299,0.7444617283609146,6257.761327039081,9000.886095779735
