source,model,date,tc,td,idle,realized,predicted,oracle,capture_daily
holdout_rmse_v1,xgboost_contextual,2025-11-20,54,69,False,8526.049723975988,8548.111212905496,8685.117815841211,0.9816849816849818
holdout_rmse_v1,xgboost_contextual,2025-11-21,54,68,False,6683.354046019838,10635.586820542812,7103.440151188545,0.9408615971659283
holdout_rmse_v1,xgboost_contextual,2025-11-22,54,88,False,2126.702211895992,2983.8953558355565,6264.524578776868,0.3394834173212271
holdout_rmse_v1,xgboost_contextual,2025-11-23,54,73,False,5747.464202083447,8201.234254986048,6269.694291762487,0.9167056533577437
holdout_rmse_v1,xgboost_contextual,2025-11-24,55,75,False,7005.237873994631,11843.554254621267,10017.17946801529,0.6993223887384921
holdout_rmse_v1,xgboost_contextual,2025-11-25,56,68,False,67.96979565401018,3174.2681916803126,1565.2300239538,0.04342479674796758
holdout_rmse_v1,xgboost_contextual,2025-11-26,56,86,False,6342.47748787634,3405.5610150098805,7918.575043866373,0.8009619726707197
holdout_rmse_v1,xgboost_contextual,2025-11-27,53,72,False,2444.567979870268,4221.01085819304,3235.7981197025892,0.7554760493200839
holdout_rmse_v1,xgboost_contextual,2025-11-28,56,72,False,3017.814387972324,3393.9473042264585,6405.093051558167,0.47115855518104927
holdout_rmse_v1,xgboost_contextual,2025-11-29,52,82,False,2860.0442917367204,3042.8142203018074,5801.283300285127,0.4930020038145961
holdout_rmse_v1,xgboost_contextual,2025-11-30,54,88,False,10816.630246835208,11257.031195098534,10816.630246835208,1.0
holdout_rmse_v1,xgboost_contextual,2025-12-01,51,67,False,-655.5768710896573,8991.73128604889,7602.92350373086,-0.08622694556481551
holdout_rmse_v1,xgboost_contextual,2025-12-02,54,79,False,6986.270594720622,4647.916041314602,7113.5250682128,0.9821109123434707
holdout_rmse_v1,xgboost_contextual,2025-12-03,54,73,False,8650.12283563086,6394.625186920166,9007.2147950591,0.9603548968739901
holdout_rmse_v1,xgboost_contextual,2025-12-04,0,26,False,445.3906572226281,5203.006267547607,11898.293271518727,0.03743315508021407
holdout_rmse_v1,xgboost_contextual,2025-12-05,53,81,False,3360.8956298690755,1976.662371307611,4598.152699291483,0.7309230140153776
holdout_rmse_v1,xgboost_contextual,2025-12-06,46,73,False,28.632256535740197,4248.246914707124,1382.2635419667454,0.020714035830678833
holdout_rmse_v1,xgboost_contextual,2025-12-07,47,69,False,10021.28978750909,11237.43476474192,15016.027872077113,0.6673728813559321
