source,model,date,tc,td,idle,realized,predicted,oracle,capture_daily,point_mse,point_mae,centered_mse,block_mse,listwise_ce,listwise_proxy,window_spearman,pred_centered_ms,true_centered_ms
holdout_dfl_bakeoff_v1,lstm_pairwise,2025-11-19,37,62,False,6082.267540479532,2285.538848489523,10200.934927737997,0.5962460875954477,0.23882525723869932,0.4328732161257993,0.22204990721911635,12.168718175713883,14.450155175077523,41.06902852586893,0.37685941350292157,0.013134845103381587,0.2203383486430904
holdout_dfl_bakeoff_v1,lstm_pairwise,2025-11-20,51,65,False,6808.114331831572,1524.891048669815,8685.117815841211,0.7838827838827839,0.28193878676412715,0.4879930892408482,0.23713815683571662,13.123178028440044,9.736035092085139,32.59524821261032,0.7479976062927,0.006277413693427995,0.2789510507100836
holdout_dfl_bakeoff_v1,lstm_pairwise,2025-11-21,0,18,False,3566.548403117949,1970.7808792591095,7103.440151188545,0.502087485388498,0.11952212677335876,0.3080932459935017,0.09404847694294693,4.676865159269304,24.765674822581126,54.208214804431556,0.4085651375820957,0.015424950933130186,0.1012381608449714
holdout_dfl_bakeoff_v1,lstm_pairwise,2025-11-22,31,60,False,17.876072163813816,1887.111857533455,6264.524578776868,0.0028535401113078678,0.1796936089430473,0.3988345426660635,0.12314192889889153,7.067790157719316,32.359331514722044,71.7864531871634,-0.5552448440988147,0.011502393262640723,0.07427552889290456
holdout_dfl_bakeoff_v1,lstm_pairwise,2025-11-23,0,88,False,726.6675827060637,1917.9651606827974,6269.694291762487,0.11590159725344258,0.21909704417778428,0.4196049761831279,0.1403261041796552,5.2830220645037285,28.350151034375124,61.98332413325397,-0.6689056402247386,0.006356690402969334,0.11649180946622817
holdout_dfl_bakeoff_v1,lstm_pairwise,2025-11-24,37,59,False,1018.0357879374311,1498.0257898569107,10017.17946801529,0.10162898560298382,0.25975093684177725,0.46122788428744926,0.24452728823570125,14.462872906418134,24.597859787415214,63.65859248124856,-0.17766998483175153,0.018308435205166236,0.17834560503094574
holdout_dfl_bakeoff_v1,lstm_pairwise,2025-11-25,35,60,False,0.0,2019.649177789688,1565.2300239538,0.0,0.12900310646262717,0.33842271468034807,0.014857236091649823,0.7746080679780505,33.1984976863178,67.17160344061365,-0.5230060428548805,0.008191367171870974,0.0033161529269691258
holdout_dfl_bakeoff_v1,lstm_pairwise,2025-11-26,39,88,False,4878.472034861892,2050.8596152067184,7918.575043866373,0.6160795355018697,0.1903053434297254,0.4111544171472105,0.14491967193558652,8.282287358406561,24.27312560113547,56.8285385606775,0.17109550985126445,0.008165317253825043,0.145528500890455
holdout_dfl_bakeoff_v1,lstm_pairwise,2025-11-27,36,59,False,0.0,2097.2269847989082,3235.7981197025892,0.0,0.1297010676952587,0.3203698914822978,0.055922177406764965,1.9250125161535203,28.031047579733755,57.98710767562103,0.09801376930537802,0.010760440002501162,0.03894456816459568
holdout_dfl_bakeoff_v1,lstm_pairwise,2025-11-28,79,88,False,-1956.7474998235127,1413.7079790234566,6405.093051558167,-0.3054986842615026,0.12343373454390306,0.30234518520570935,0.10773143791429392,5.827150526812917,25.855575858287786,57.538302243388486,-0.4060283626610565,0.00838508306673677,0.08028306890924171
